Order Number,Sales Date,Month,Sales Channel,Currency,Salesteam,Salesteam Region,Store Name,State,Product Name,Product Category,Order qty,unit price,unit cost,Sales Price,Cost Price,Profit
SO1,5/24/2020,May,Online,USD,Nicholas Cunningham,South,Spokane,Washington,Baseball,Sports,8,504.25,360.18,4034.0,2881.44,1152.56
SO2,2/16/2020,February,Wholesale,USD,Joshua Kenedy,West,Pasadena,Texas,Candles,Lighting,5,551.55,393.96,2757.75,1969.8,787.95
SO3,5/30/2020,May,In-Store,USD,Carl Nguyen,Midwest,Carlsbad,California,Wine Storage,Drinkware,4,253.8,181.29,1015.2,725.16,290.0400000000001
SO4,1/22/2020,January,Wholesale,USD,Joshua Ryan,Midwest,Waterbury (Town),Connecticut,Cocktail Glasses,Drinkware,9,330.81,236.3,2977.29,2126.7000000000003,850.5899999999997
SO5,4/24/2020,April,Wholesale,USD,Roger Alexander,Midwest,Riverside,California,Accessories,Accessories,4,387.92,277.08,1551.68,1108.32,443.3600000000001
SO6,4/9/2020,April,Distributor,USD,Joshua Bennett,Northeast,Elizabeth,New Jersey,Mirrors,Accessories,4,322.87,230.62,1291.48,922.48,369.0
SO7,5/21/2020,May,In-Store,USD,Shawn Cook,Midwest,Fullerton,California,Outdoor Decor,Decoratives,2,293.17,209.41,586.34,418.82,167.52000000000004
SO8,3/30/2020,March,Online,USD,Samuel Fowler,Midwest,Perry,Indiana,Outdoor Furniture,Furniture,8,273.99,195.71,2191.92,1565.68,626.24
SO9,5/5/2020,May,Wholesale,USD,Donald Reynolds,South,Eugene,Oregon,Phones,Electronics,9,499.79,356.99,4498.110000000001,3212.91,1285.2000000000007
SO10,3/9/2020,March,Wholesale,USD,Nicholas Cunningham,South,Davenport,Iowa,Bakeware,Kitchenery,1,288.26,205.9,288.26,205.9,82.35999999999999
SO11,4/26/2020,April,Online,USD,Roger Alexander,Midwest,Bremen,Illinois,Audio,Electronics,10,621.18,443.7,6211.799999999999,4437.0,1774.7999999999993
SO12,4/7/2020,April,Wholesale,USD,Jonathan Hawkins,West,Salinas,California,Bathroom Furniture,Furniture,2,245.59,175.42,491.18,350.84,140.34000000000003
SO13,2/3/2020,February,Wholesale,USD,Shawn Wallace,South,Murrieta,California,TV and video,Electronics,8,348.32,248.8,2786.56,1990.4,796.1599999999999
SO14,5/6/2020,May,In-Store,USD,Roger Alexander,Midwest,Rockford (Township),Illinois,Festive,Decoratives,1,575.95,411.39,575.95,411.39,164.56000000000006
SO15,1/23/2020,January,Wholesale,USD,Samuel Fowler,Midwest,Bakersfield,California,Serveware,Kitchenery,1,383.51,273.94,383.51,273.94,109.57
SO16,1/27/2020,January,Online,USD,Roy Rice,Midwest,Mesa,Arizona,Computers,Electronics,8,209.67,149.77,1677.36,1198.16,479.1999999999998
SO17,5/14/2020,May,Distributor,USD,Samuel Fowler,Midwest,Spring Valley,Nevada,Sculptures,Decoratives,1,323.12,230.8,323.12,230.8,92.32
SO18,2/14/2020,February,Wholesale,USD,Jonathan Hawkins,West,Sioux Falls,South Dakota,Basketball,Sports,9,173.69,124.06,1563.21,1116.54,446.6700000000001
