Order Number,Sales Date,Month,Sales Channel,Currency,Salesteam,Salesteam Region,Store Name,State,Product Name,Product Category,Order qty,unit price,unit cost
SO1,5/24/2020,May,Online,USD,Nicholas Cunningham,South,Spokane,Washington,Baseball,Sports,8,504.25,360.18
SO2,2/16/2020,February,Wholesale,USD,Joshua Kenedy,West,Pasadena,Texas,Candles,Lighting,5,551.55,393.96
SO3,5/30/2020,May,In-Store,USD,Carl Nguyen,Midwest,Carlsbad,California,Wine Storage,Drinkware,4,253.80,181.29
SO4,1/22/2020,January,Wholesale,USD,Joshua Ryan,Midwest,Waterbury (Town),Connecticut,Cocktail Glasses,Drinkware,9,330.81,236.30
SO5,4/24/2020,April,Wholesale,USD,Roger Alexander,Midwest,Riverside,California,Accessories,Accessories,4,387.92,277.08
SO6,4/9/2020,April,Distributor,USD,Joshua Bennett,Northeast,Elizabeth,New Jersey,Mirrors,Accessories,4,322.87,230.62
SO7,5/21/2020,May,In-Store,USD,Shawn Cook,Midwest,Fullerton,California,Outdoor Decor,Decoratives,2,293.17,209.41
SO8,3/30/2020,March,Online,USD,Samuel Fowler,Midwest,Perry,Indiana,Outdoor Furniture,Furniture,8,273.99,195.71
SO9,5/5/2020,May,Wholesale,USD,Donald Reynolds,South,Eugene,Oregon,Phones,Electronics,9,499.79,356.99
SO10,3/9/2020,March,Wholesale,USD,Nicholas Cunningham,South,Davenport,Iowa,Bakeware,Kitchenery,1,288.26,205.90
SO11,4/26/2020,April,Online,USD,Roger Alexander,Midwest,Bremen,Illinois,Audio,Electronics,10,621.18,443.70
SO12,4/7/2020,April,Wholesale,USD,Jonathan Hawkins,West,Salinas,California,Bathroom Furniture,Furniture,2,245.59,175.42
SO13,2/3/2020,February,Wholesale,USD,Shawn Wallace,South,Murrieta,California,TV and video,Electronics,8,348.32,248.80
SO14,5/6/2020,May,In-Store,USD,Roger Alexander,Midwest,Rockford (Township),Illinois,Festive,Decoratives,1,575.95,411.39
SO15,1/23/2020,January,Wholesale,USD,Samuel Fowler,Midwest,Bakersfield,California,Serveware,Kitchenery,1,383.51,273.94
SO16,1/27/2020,January,Online,USD,Roy Rice,Midwest,Mesa,Arizona,Computers,Electronics,8,209.67,149.77
SO17,5/14/2020,May,Distributor,USD,Samuel Fowler,Midwest,Spring Valley,Nevada,Sculptures,Decoratives,1,323.12,230.80
SO18,2/14/2020,February,Wholesale,USD,Jonathan Hawkins,West,Sioux Falls,South Dakota,Basketball,Sports,9,173.69,124.06
SO19,4/10/2020,April,In-Store,USD,Joe Price,Northeast,Thousand Oaks,California,Wall Frames,Decoratives,3,644.20,460.14
SO20,1/31/2020,January,Distributor,USD,Jonathan Hawkins,West,Jurupa Valley,California,Wall Frames,Decoratives,6,387.17,276.55
SO21,2/22/2020,February,Online,USD,Samuel Fowler,Midwest,The Bronx,New York,Bathroom Furniture,Furniture,8,544.19,388.71
SO22,3/25/2020,March,Online,USD,Joshua Ryan,Midwest,Dallas,Texas,Accessories,Accessories,5,380.98,272.13
SO23,1/31/2020,January,Distributor,USD,Paul Holmes,Midwest,North Hempstead,New York,Audio,Electronics,5,542.05,387.18
SO24,5/14/2020,May,Distributor,USD,Chris Armstrong,Northeast,Virginia Beach,Virginia,Bean Bags,Furniture,5,261.71,186.94
SO25,4/12/2020,April,Online,USD,Shawn Cook,Midwest,Columbus,Georgia,Wall Frames,Decoratives,1,337.50,241.07
SO26,4/19/2020,April,Online,USD,Roy Rice,Midwest,Elizabeth,New Jersey,Bedroom Furniture,Furniture,9,370.51,264.65
SO27,3/17/2020,March,Wholesale,USD,Chris Armstrong,Northeast,Lisle (Township),Illinois,Cookware,Kitchenery,6,586.31,418.79
SO28,5/1/2020,May,Wholesale,USD,Jerry Green,West,North Hempstead,New York,Table Linens,Decoratives,2,215.67,154.05
SO29,4/12/2020,April,Distributor,USD,Keith Griffin,Northeast,Enterprise,Nevada,Bar Tools,Drinkware,2,340.71,243.36
SO30,4/12/2020,April,Wholesale,USD,Shawn Wallace,South,Waterbury (Town),Connecticut,Wardrobes,Furniture,5,389.87,278.48
SO31,1/1/2020,January,Wholesale,USD,Jonathan Hawkins,West,Sacramento,California,Phones,Electronics,8,566.48,404.63
SO32,3/13/2020,March,In-Store,USD,Chris Armstrong,Northeast,Syracuse,New York,Floor Lamps,Lighting,10,285.54,203.95
SO33,2/25/2020,February,Distributor,USD,Keith Griffin,Northeast,Palmdale,California,Bathroom Furniture,Furniture,3,225.18,160.84
SO34,4/16/2020,April,Wholesale,USD,Frank Brown,Northeast,Olathe,Kansas,Blankets,Beddings,5,579.53,413.95
SO35,5/16/2020,May,In-Store,USD,Joshua Bennett,Northeast,Hillsboro,Oregon,Stemware,Drinkware,6,593.56,423.97
SO36,1/20/2020,January,Distributor,USD,Keith Griffin,Northeast,Davie,Florida,Sculptures,Decoratives,1,545.45,389.61
SO37,4/8/2020,April,In-Store,USD,Todd Roberts,West,York,Illinois,Pendants,Collections,8,551.27,393.77
SO38,2/29/2020,February,Wholesale,USD,Stephen Payne,South,Durham,North Carolina,Table Lamps,Lighting,7,416.98,297.84
SO39,3/13/2020,March,Distributor,USD,Jonathan Hawkins,West,Milton,Illinois,Pillows,Beddings,10,262.33,187.38
